유형 중분류명,유형 소분류명,소분류 검색건수
음식,카페/찻집,32146
음식,전문음식,43734
음식,음식점기타,1039
음식,외국식,18067
음식,한식,83651
음식,간이음식,31015
문화관광,복합관광시설,1958
문화관광,테마공원,12370
문화관광,전시시설,12216
문화관광,레저스포츠시설,14335
문화관광,랜드마크관광,655
문화관광,도시공원,10310
문화관광,도시/지역문화관광,7
문화관광,기타문화관광지,2129
문화관광,공연시설,11546
숙박,호텔,25718
숙박,기타숙박,50
숙박,모텔,14918
숙박,캠핑,1127
숙박,펜션/민박,3
숙박,호스텔,1
쇼핑,쇼핑몰,6546
쇼핑,시장,6624
쇼핑,기타쇼핑시설,116
자연관광,자연경관(하천/해양),853
자연관광,자연경관(산),760
자연관광,자연공원,10366
레저스포츠,육상레저스포츠,5744
레저스포츠,수상레저스포츠,561
레저스포츠,기타레저스포츠,3824
기타관광,데이트코스,34
기타관광,기타관광,4168
역사관광,종교성지,2514
역사관광,역사유적지,794
역사관광,역사유물,189
체험관광,농/산/어촌체험,164
체험관광,웰니스관광,57
